Hero,PickRateGuardian,WinRateGuardian,PickRateArchon,WinRateArchon,PickRateLegend,WinRateLegend,PickRateAncient,WinRateAncient,PickRateDivine,WinRateDivine
Omniknight,2.96%,52.68%,2.56%,52.51%,2.06%,53.73%,1.73%,51.13%,1.66%,54.42%
Enchantress,3.16%,44.71%,2.10%,43.24%,1.97%,44.64%,2.12%,45.86%,5.24%,48.53%
Huskar,6.07%,47.59%,3.84%,49.53%,3.01%,50.52%,2.59%,51.14%,1.69%,50.00%
Night Stalker,4.68%,50.67%,5.61%,52.76%,5.92%,51.69%,6.89%,53.19%,7.88%,52.11%
Broodmother,2.76%,53.76%,2.44%,54.27%,2.58%,55.77%,2.86%,58.19%,2.77%,58.66%
Bounty Hunter,7.55%,47.12%,6.00%,48.31%,5.49%,50.55%,4.87%,51.02%,3.83%,52.18%
Weaver,7.60%,48.40%,5.69%,48.92%,4.92%,49.57%,4.34%,49.10%,2.95%,50.09%
Jakiro,9.60%,53.50%,11.15%,51.23%,11.94%,50.20%,12.40%,49.45%,10.07%,47.62%
Batrider,1.53%,42.04%,1.84%,42.73%,2.08%,45.33%,2.70%,47.81%,6.45%,51.53%
Chen,0.86%,48.58%,0.91%,49.45%,0.98%,47.89%,1.33%,52.77%,2.56%,56.70%
Spectre,14.18%,55.10%,15.85%,54.55%,17.33%,53.92%,18.52%,53.74%,19.89%,52.37%
Ancient Apparition,6.55%,51.94%,7.84%,51.95%,8.05%,51.56%,6.91%,51.31%,5.19%,49.86%
Doom,4.34%,43.48%,5.10%,44.47%,5.50%,48.72%,6.19%,47.97%,8.39%,49.83%
Ursa,6.47%,47.02%,6.13%,47.84%,5.68%,46.90%,4.86%,47.16%,3.29%,50.17%
Spirit Breaker,10.11%,49.77%,7.99%,50.44%,6.75%,50.53%,6.12%,51.37%,5.41%,50.65%
Gyrocopter,3.61%,47.23%,3.11%,45.75%,2.48%,45.80%,2.01%,44.98%,1.62%,49.16%
Alchemist,5.75%,47.96%,5.43%,49.41%,4.38%,50.88%,3.81%,49.98%,2.69%,49.33%
Invoker,17.14%,47.21%,20.85%,48.64%,22.29%,48.65%,21.62%,49.18%,16.74%,50.65%
Silencer,9.46%,50.09%,9.23%,50.20%,8.19%,49.82%,7.07%,49.71%,5.09%,45.70%
Outworld Devourer,2.70%,44.34%,3.36%,47.36%,3.56%,47.34%,3.70%,47.18%,3.20%,44.93%
Lycan,1.48%,43.30%,1.22%,44.06%,1.09%,49.94%,1.15%,50.52%,1.59%,54.79%
Brewmaster,1.25%,47.77%,1.40%,46.92%,1.51%,50.07%,1.74%,48.06%,2.12%,51.20%
Shadow Demon,2.17%,45.21%,2.65%,48.64%,2.79%,47.28%,2.93%,48.36%,3.69%,48.67%
Lone Druid,2.97%,52.93%,2.86%,51.40%,2.71%,51.55%,2.74%,53.72%,1.89%,51.68%
Chaos Knight,8.22%,52.46%,6.05%,51.95%,5.63%,51.48%,6.67%,51.76%,8.93%,51.90%
Meepo,3.27%,52.56%,2.70%,49.46%,2.32%,48.63%,2.02%,48.85%,1.18%,48.46%
Treant Protector,7.47%,52.75%,7.87%,52.21%,7.93%,52.16%,8.33%,52.28%,8.13%,50.78%
Ogre Magi,24.51%,55.16%,23.56%,55.06%,20.75%,53.29%,18.24%,52.88%,12.98%,51.40%
Undying,8.79%,54.46%,8.27%,52.12%,8.36%,53.14%,9.40%,52.73%,14.10%,52.07%
Rubick,11.65%,46.59%,15.55%,47.00%,18.10%,46.85%,19.81%,47.88%,22.28%,47.40%
Disruptor,8.47%,50.18%,10.02%,49.34%,10.59%,49.57%,10.65%,48.84%,9.54%,47.37%
Nyx Assassin,2.99%,49.57%,3.25%,50.20%,3.41%,51.11%,3.18%,50.78%,3.37%,51.48%
Naga Siren,2.63%,50.15%,2.01%,49.83%,1.60%,49.53%,1.65%,47.63%,1.51%,51.98%
Keeper of the Light,4.24%,45.77%,3.98%,47.33%,3.24%,47.43%,2.65%,46.33%,2.07%,44.30%
Io,3.75%,48.17%,4.30%,48.37%,4.59%,49.43%,5.46%,49.72%,7.66%,51.83%
Visage,0.95%,48.53%,1.06%,50.90%,1.10%,51.26%,1.48%,53.04%,1.90%,52.68%
Slark,14.47%,49.25%,13.63%,48.58%,12.26%,48.06%,10.17%,47.36%,6.50%,47.32%
Medusa,8.21%,51.16%,5.84%,48.84%,3.76%,48.31%,2.38%,47.34%,1.32%,50.89%
Troll Warlord,7.53%,52.31%,5.47%,50.50%,5.14%,49.57%,4.91%,49.11%,5.57%,50.13%
Centaur Warrunner,4.96%,49.43%,5.22%,49.35%,4.98%,48.88%,4.65%,49.69%,4.08%,48.53%
Magnus,5.68%,46.51%,9.34%,48.48%,11.93%,49.72%,14.06%,50.19%,17.30%,51.41%
Timbersaw,4.95%,48.16%,5.20%,47.79%,5.37%,48.02%,5.72%,49.54%,7.70%,51.38%
Bristleback,13.39%,50.54%,9.00%,47.43%,6.56%,47.01%,4.40%,44.32%,2.03%,44.68%
Tusk,5.48%,47.90%,6.39%,48.79%,6.83%,48.81%,7.86%,49.61%,10.61%,50.47%
Skywrath Mage,10.28%,51.20%,8.58%,50.77%,7.78%,49.93%,7.92%,50.06%,7.66%,50.69%
Abaddon,5.04%,51.68%,4.29%,51.67%,3.58%,51.23%,3.26%,52.67%,2.43%,47.65%
Elder Titan,1.79%,48.54%,2.02%,49.03%,2.14%,48.93%,2.75%,50.28%,5.14%,52.63%
Legion Commander,18.43%,50.72%,16.20%,50.63%,14.98%,50.11%,14.26%,48.66%,11.55%,48.27%
Techies,8.45%,50.58%,7.84%,49.27%,7.61%,48.94%,6.92%,48.21%,4.84%,48.84%
Ember Spirit,6.14%,44.10%,7.74%,44.97%,8.80%,46.07%,9.71%,47.33%,13.50%,48.88%
Earth Spirit,3.85%,47.55%,5.70%,48.82%,6.99%,49.96%,7.84%,50.86%,11.24%,51.06%
Underlord,6.73%,59.07%,8.93%,58.01%,9.82%,56.28%,10.75%,54.58%,9.35%,52.10%
Terrorblade,4.28%,46.49%,4.46%,48.87%,5.04%,48.57%,6.67%,49.48%,10.57%,48.24%
Phoenix,5.14%,49.79%,7.59%,50.21%,9.78%,50.57%,11.42%,50.24%,15.28%,52.13%
Oracle,4.07%,47.79%,6.65%,48.88%,8.65%,50.87%,11.00%,50.65%,12.85%,50.81%
Winter Wyvern,4.06%,48.19%,4.44%,48.04%,5.01%,48.96%,5.68%,49.54%,6.28%,49.26%
Arc Warden,4.86%,52.89%,5.79%,53.19%,6.51%,53.08%,6.84%,52.81%,5.03%,49.19%
Monkey King,10.50%,47.17%,9.56%,47.12%,8.95%,47.94%,8.63%,48.30%,7.42%,49.13%
Dark Willow,5.48%,48.85%,5.91%,50.67%,6.27%,51.06%,6.75%,51.04%,7.00%,51.04%
Pangolier,3.98%,46.89%,5.86%,47.88%,7.53%,47.73%,9.39%,48.83%,10.88%,48.98%
Grimstroke,6.19%,45.77%,8.01%,46.79%,8.73%,46.50%,8.59%,46.06%,8.28%,45.25%
Void Spirit,6.26%,49.56%,8.31%,49.55%,10.35%,49.76%,12.77%,50.12%,19.45%,50.78%
Snapfire,8.25%,48.67%,12.18%,49.30%,15.70%,48.44%,18.80%,48.32%,23.05%,45.98%
Mars,8.52%,49.17%,12.09%,49.52%,15.37%,49.11%,18.45%,48.97%,24.26%,47.94%
